ID HPO,Nombre total,Pourcentage,Libellé,Nombre de gene associés,4 premiers Genes,Tous les Genes,Nombre de présence dans les maladies,1 premiers maladies associés,Toutes les maladies associés
HP:0010978,15,0.0404476203317%,Abnormality of immune system physiology,15,BUB1B | RIPPLY2 | HES7 | NSD1 ...,BUB1B | RIPPLY2 | HES7 | NSD1 | APC2 | MESP2 | CD96 | DLL3 | NUP107 | WDR73 | HSPG2 | ERCC6 | CHD7 | LFNG | SEMA3E ,44,Syndrome de Sotos ...,"Syndrome de Sotos | Syndrome d'anomalie des cheveux-photosensibilité-déficience intellectuelle | Maladie de Norrie | Syndrome de dysplasie ectodermique-déficience intellectuelle-malformation du système nerveux central | Dysplasie hémato-diaphysaire de Ghosal | Chéilite glandulaire | Syndrome C | Syndrome CHARGE | Syndrome de Schwartz-Jampel | ALG12-CDG | Syndrome d'aneuploïdie en mosaïque | Déficit familial bénin en cuivre | Tétrasomie X | Déficit en glutathion synthétase | Dysostose spondylo-costale autosomique récessive | Acrodysostose | Trisomie 21 | COG7-CDG | Syndrome d'alcoolisation foetale | Syndrome de neutropénie-monocytopénie-surdité | Syndrome de petite taille-surdité-neutrophiles anormaux | Erythrodermie desquamative | Incontinentia pigmenti | Acidémie propionique | Déficit en triose-phosphate isomérase | Syndrome de déficience intellectuelle-polydactylie-cheveux incoiffables | ALG1-CDG | Emphysème lobaire congénital | Maladie d'Erdheim-Chester | Monosomie distale 7q36 | Syndrome de Kabuki | Syndrome de Galloway-Mowat | Prédisposition mendélienne aux infections mycobactériennes par déficit partiel en IRF8 | Syndrome de mégalocornée-déficience intellectuelle | Pentasomie X | Syndrome d'agénésie du corps calleux-microcéphalie-petite taille | Dysplasie ectodermique hypohidrotique | Alpha-thalassémie | Syndrome de microduplication 22q11.2 | Anomalie congénitale de la glycosylation | Syndrome oculo-cérébral d'hypopigmentation, type Preus | MELAS | Syndrome de Cushing | Syndrome COFS "
HP:0002580,6,0.0161790481327%,Volvulus,6,NIPBL | FOXF1 | HDAC8 | CHRM3 ...,NIPBL | FOXF1 | HDAC8 | CHRM3 | DIS3L2 | SMC1A ,8,Duplication de l'hypophyse ...,Duplication de l'hypophyse | Dysplasie alvéolo-capillaire congénitale | Déficit congénital en fibrinogène | Syndrome de Cornelia de Lange | Alpha-thalassémie-déficience intellectuelle liée à l'X | Syndrome prune belly | Malrotation intestinale familiale | Angiomatose cutanée et digestive 
HP:0000729,16,0.0431441283538%,Autistic behavior,16,CEP290 | ZNF423 | EGF | ARID1B ...,CEP290 | ZNF423 | EGF | ARID1B | WFS1 | TMEM216 | RERE | CNNM2 | NAA10 | NEXMIF | TMEM138 | POMT1 | CC2D2A | BCOR | TMEM237 | TMEM231 ,48,Déficit en acyl-CoA déshydrogénase des acides gras à chaîne longue ...,"Déficit en acyl-CoA déshydrogénase des acides gras à chaîne longue | Syndrome de microdélétion 20q13.33 | Syndrome de déficience intellectuelle liée à l'X-hypotonie-anomalie du mouvement | Dysgénésie gonadique mixte 45,X/46,XY | Obésité par déficit en SIM1 | Duplication/inversion 15q11 | Syndrome de croissance excessive-macrocéphalie-dysmorphie faciale | Syndrome de Wolfram-like | Syndrome de microduplication 17q21.31 | Syndrome de Pitt-Hopkins | Syndrome de microdélétion 3p25.3 | Dystrophie musculaire des ceintures autosomique récessive type 2K | Monosomie 22q13 | Syndrome du chromosome 22 en anneau | Syndrome de délétion 6q16 | Syndrome désintégratif de l'enfance | Syndrome de Prader-Willi-like | Syndrome de microdélétion 5q14.3 | Syndrome d'arthrogrypose-épilepsie-trouble du spectre de l'autisme | Syndrome de microduplication 7q11.23 distale | Syndrome d'obésité infantile d'installation rapide-dysfonctionnement hypothalamique-hypoventilation-dysautonomie | Syndrome d'Ogden | Syndrome de Sturge-Weber | Syndrome de duplication/délétion inversée 8p | Syndrome de Silver-Russell | Syndrome 47,XYY | Syndrome de Kleefstra | Déficience intellectuelle liée à l'X type Cantagrel | Syndrome de microduplication Xq28 distale | Syndrome de duplication Xq12-q13.3 | Epilepsie myoclono-astatique | Monosomie distale 15q | Syndrome 49,XXXYY | Hypomagnésémie primaire familiale avec normocalciurie et normocalcémie | Syndrome de microdélétion 1p21.3 | Syndrome de microdélétion 2q24 | Syndrome tumoral hamartomateux lié à PTEN | Ataxie cérébelleuse non progressive avec déficience intellectuelle | Syndrome de Lennox-Gastaut | Syndrome de myopathie mitochondriale-ataxie cérébelleuse-rétinopathie pigmentaire | Syndrome de Fried | Syndrome de microdélétion 16p11.2 distale | Tétrasomie 9p | Déficit en transporteur de la créatine lié à l'X | Syndrome d'ataxie cérébelleuse-aréflexie-pieds creux-atrophie optique-surdité neurosensorielle | Syndrome de microdélétion 2p15p16.1 | Insuffisance placentaire | Syndrome de Joubert avec atteinte oculo-rénale "
HP:0002132,9,0.024268572199%,Porencephalic cyst,9,OFD1 | COL4A1 | TCTN3 | TREX1 ...,OFD1 | COL4A1 | TCTN3 | TREX1 | DLL4 | FGFR1 | HRAS | KRAS | SNRPB ,8,Syndrome de microdélétion 7q11.23 distale ...,Syndrome de microdélétion 7q11.23 distale | Syndrome d'Aicardi-Goutières | Syndrome PEHO | Syndrome du naevus sébacé linéaire | Porencéphalie | Syndrome cérébrocostomandibulaire | Syndrome d'Adams-Oliver | Schizencéphalie 
HP:0003297,1,0.00269650802211%,Hyperlysinuria,1,SLC3A1 ,SLC3A1 ,0,,
HP:0001153,3,0.00808952406633%,Septate vagina,3,GATA3 | DHCR7 | BCOR ,GATA3 | DHCR7 | BCOR ,2,Syndrome d'hypoparathyroïdie-surdité neurosensorielle-dysplasie rénale ...,Syndrome d'hypoparathyroïdie-surdité neurosensorielle-dysplasie rénale | Camptobrachydactylie 
HP:0005932,1,0.00269650802211%,Abnormal renal corticomedullary differentiation,1,COQ7 ,COQ7 ,0,,
HP:0002133,13,0.0350546042874%,Status epilepticus,13,TBC1D24 | COX7B | FH | CAD ...,TBC1D24 | COX7B | FH | CAD | DIS3L2 | NEXMIF | ARX | UPB1 | ICK | BSCL2 | PRODH | PDSS2 | RNU4ATAC ,20,Encéphalopathie par déficit en GLUT1 ...,Encéphalopathie par déficit en GLUT1 | Encéphalopathie sensible aux stéroïdes associée à une thyroïdite auto-immune | Syndrome de spasticité-déficience intellectuelle-épilepsie lié à l'X | Syndrome de Kleefstra dû à une microdélétion 9q34 | Syndrome de microcéphalie-lymphoedème-choriorétinopathie | Epilepsie myoclonique juvénile | Déficit en succinate-semi-aldéhyde déshydrogénase | Epilepsie myoclonique progressive avec dystonie | Syndrome de déficience intellectuelle-hypotrichose-brachydactylie | Microphtalmie avec défauts linéaires cutanés | Syndrome de Perlman | Epilepsie myoclono-astatique | Epilepsie pyridoxino-dépendante | Nanisme microcéphalique ostéodysplasique primordial types I et III | Encéphalopathie épileptique précoce indéterminée | Syndrome neurodégénératif sévère avec lipodystrophie | Convulsions sensibles au phosphate de pyridoxal | Desmostérolose | Syndrome de la peau ridée | Ataxie spinocérébelleuse type 10 
HP:0011087,1,0.00269650802211%,Talon cusp,1,CREBBP ,CREBBP ,0,,
HP:0000722,7,0.0188755561548%,Obsessive-compulsive behavior,7,ALMS1 | NIPBL | HDAC8 | OCRL ...,ALMS1 | NIPBL | HDAC8 | OCRL | CHD7 | SMC1A | SEMA3E ,22,Syndrome CHARGE ...,"Syndrome CHARGE | Syndrome d'Alström | Neurodégénérescence associée à un déficit en pantothénate kinase, forme atypique | Syndrome de microduplication 17q21.31 | Intoxication au manganèse | Syndrome d'obésité infantile d'installation rapide-dysfonctionnement hypothalamique-hypoventilation-dysautonomie | Syndrome oculo-cérébro-rénal | Syndrome de microdélétion 22q11.2 distale | Neurodégénérescence associée à un déficit en pantothénate kinase | Syndrome de Cornelia de Lange | Neurodégénérescence associée à la protéine COASY | Syndrome de microdélétion 2q37 | Syndrome de Williams | Dystonie dopa-sensible autosomique dominante | Syndrome de microdélétion 16p13.11 | Syndrome de microduplication 22q11.2 | Chorée de Sydenham | Syndrome tremblement-ataxie lié à une prémutation de l'X fragile | Dystonie myoclonique héréditaire | Syndrome de microdélétion 11q22.2q22.3 | Syndrome de microduplication 15q11q13 | Syndrome de déficience intellectuelle-épilepsie-macrocéphalie-obésité "
HP:0000725,1,0.00269650802211%,Psychotic episodes,1,SLC7A7 ,SLC7A7 ,2,Céroïde-lipofuscinose neuronale de l'adulte ...,Céroïde-lipofuscinose neuronale de l'adulte | MELAS 
HP:0000726,21,0.0566266684643%,Dementia,21,APOE | PSAP | AMN | WFS1 ...,APOE | PSAP | AMN | WFS1 | ATP7B | TREX1 | IRF6 | ERCC8 | ERCC4 | NOTCH3 | TTR | GBA | RRM2B | PNPLA6 | CISD2 | MMACHC | MBTPS2 | SCARB2 | CUBN | SDHB | SDHD ,72,Syndrome de Kufor-Rakeb ...,"Syndrome de Kufor-Rakeb | Syndrome d'ataxie cérébelleuse-hypogonadisme | Paraplégie spastique autosomique dominante type 38 | Paraplégie spastique autosomique dominante type 36 | Amylose ABeta type Iowa | Amylose ABeta, type italien | Maladie de Huntington juvénile | Maladie des inclusions intranucléaires neuronales | Amylose ABetaL34V | Ataxie sporadique tardive d'étiologie indéterminée | Syndrome de chorée bénigne avec atteinte striatale | Myopathie distale de l'adulte due à des mutations de VCP | Syndrome de Perry | Syndrome parkinsonien-pyramidal | Maladie de Gaucher type 3 | Syndrome NARP | Atrophie dentato-rubro-pallido-luysienne | Syndrome de Wolfram-like | Neurodégénérescence associée à une protéine bêta-propeller | Paraplégie spastique autosomique dominante type 73 | Maladie de Huntington | Maladie de Parkinson héréditaire à début tardif | Paraplégie spastique autosomique récessive type 78 | Céroïde-lipofuscinose neuronale juvénile | Démence sémantique | Progéria | Syndrome désintégratif de l'enfance | Ataxie spinocérébelleuse type 43 | Paraplégie spastique autosomique récessive type 21 | Freezing progressif primaire de la marche | Ataxie spinocérébelleuse liée à l'X type 4 | Acéruléoplasminémie | Dystonie primaire type DYT4 | CADASIL | Neuroferritinopathie | Syndrome de Wolfram | Parkinsonisme des Caraïbes | Syndrome de leucoencéphalopathie-kératose palmoplantaire | Maladie des corps de polyglucosane de l'adulte | Cutis laxa autosomique récessive type 2 classique | Neurodégénérescence associée à un déficit en pantothénate kinase | Gangliocytome | Syndrome de Flynn-Aird | Amylose ABeta, type néerlandais | Leucodystrophie métachromatique de l'adulte | Homocystinurie sans acidurie méthylmalonique | Syndrome de délétions multiples de l'ADN mitochondrial de l'adulte par déficit en DGUOK | Maladie de Huntington-like 1 | Maladie de Huntington-like 2 | Paraplégie spastique autosomique récessive type 15 | Maladie de Unverricht-Lundborg | Syndrome de myopathie-diabète sucré | Maladie d'Alzheimer précoce autosomique dominante | Syndrome d'ichtyose folliculaire-alopécie-photophobie | Paraplégie spastique autosomique dominante type 9A | Maladie de Creutzfeldt-Jakob héréditaire | Syndrome amélocérébrohypohidrotique | Démence neurodégénérative avec filaments intermédiaires associée à PRKAR1B | Syndrome de chylomicronémie familiale | Déficit isolé en succinate-CoQ réductase | Myopathie distale avec faiblesse des cordes vocales | Céroïde-lipofuscinose neuronale de l'adulte | Adrénoleucodystrophie liée à l'X | Ataxie spinocérébelleuse type 2 | Paraplégie spastique autosomique récessive type 46 | Syndrome tremblement-ataxie lié à une prémutation de l'X fragile | Encéphalopathie myo-neuro-gastrointestinale | Syndrome de Sneddon | Syndrome de myoclonie-atrophie musculaire distale | Syndrome d'ichtyose-hépatosplénomégalie-dégénérescence cérébelleuse | Ataxie spinocérébelleuse type 12 | Paralysie supranucléaire progressive "
HP:0002909,8,0.0215720641769%,Generalized aminoaciduria,8,SLC2A2 | ETFDH | ETFA | ETFB ...,SLC2A2 | ETFDH | ETFA | ETFB | CTNS | CYP27B1 | FAH | SLC34A1 ,1,Tyrosinémie type 1 ,Tyrosinémie type 1 
HP:0002908,2,0.00539301604422%,Conjugated hyperbilirubinemia,2,VIPAS39 | VPS33B ,VIPAS39 | VPS33B ,3,Syndrome de Dubin-Johnson ...,Syndrome de Dubin-Johnson | Cholangite biliaire primitive | Syndrome de Rotor 
HP:0003292,3,0.00808952406633%,Decreased serum leptin,3,LMNA | AGPAT2 | BSCL2 ,LMNA | AGPAT2 | BSCL2 ,6,Laminopathie lipodystrophique sévère autosomique semi-dominante ...,Laminopathie lipodystrophique sévère autosomique semi-dominante | Lipodystrophie partielle familiale associée à CIDEC | Lipodystrophie partielle familiale associée à LIPE | Obésité par déficit congénital en leptine | Obésité par déficit en récepteur de la leptine | Lipodystrophie partielle familiale associée à AKT2 
HP:0002902,18,0.048537144398%,Hyponatremia,18,NR0B1 | SCN4A | BSND | CYP11B2 ...,NR0B1 | SCN4A | BSND | CYP11B2 | CYP11B1 | HSD3B2 | CLCNKA | CLCNKB | SARS2 | CYP11A1 | CTNS | SCNN1G | SCNN1A | OCRL | MAGED2 | AVPR2 | SCNN1B | NR3C2 ,34,Déficit hypophysaire associé au syndrome de la selle turcique vide ...,"Déficit hypophysaire associé au syndrome de la selle turcique vide | Encéphalopathie sensible aux stéroïdes associée à une thyroïdite auto-immune | Déficit isolé tardif en ACTH | Botulisme infantile | Porphyrie aiguë intermittente | Carcinome hépatocellulaire | Maladie de Whipple | Hyperplasie congénitale des surrénales par déficit en 21-hydroxylase classique | Syndrome d'insuffisance antéhypophysaire-déficit immunitaire variable | Panhypophysite | Hyperplasie congénitale lipoïde des surrénales par déficit en STAR | Intoxication par la colchicine | Coproporphyrie héréditaire | Paralysie périodique hyperkaliémique | Diabète insipide d'origine centrale | Déficit en lipase acide lysosomale | Syndrome d'obésité infantile d'installation rapide-dysfonctionnement hypothalamique-hypoventilation-dysautonomie | Holoprosencéphalie | Maladie d'Addison | Adénohypophysite | Dysautonomie familiale | Syndrome oculo-cérébro-rénal | Syndrome de surdité-insensibilité familiale des glandes salivaires à l'aldostérone | Hypoaldostéronisme familial | Hyperplasie congénitale des surrénales par déficit en 11-bêta-hydroxylase | Légionellose | Hyperplasie congénitale des surrénales par déficit en 3-bêta-hydroxystéroïde déshydrogénase | Insuffisance surrénalienne aiguë | Déficit congénital isolé en ACTH | Syndrome de Cushing | Apoplexie hypophysaire | Insuffisance surrénalienne héréditaire isolée par déficit partiel en CYP11A1 | Syndrome de Sheehan | Anomalie du développement sexuel 46,XY-insuffisance surrénalienne par déficit en CYP11A1 "
HP:0002901,17,0.0458406363759%,Hypocalcemia,17,TBCE | GNAS-AS1 | GCM2 | FAT4 ...,TBCE | GNAS-AS1 | GCM2 | FAT4 | TRPM6 | GNAS | SLC3A1 | CASR | STX16 | UBR1 | SLC4A1 | VDR | CHD7 | PTH | IFT122 | SEMA3E | GNA11 ,33,Pseudohypoparathyroïdie type 1A ...,Pseudohypoparathyroïdie type 1A | Lymphangiectasie intestinale primitive | Déficit en protéine trifonctionnelle mitochondriale | Syndrome de Sanjad-Sakati | Lymphangiectasie intestinale | Hypocalcémie autosomique dominante | Syndrome d'hypoparathyroïdie-surdité neurosensorielle-dysplasie rénale | Syndrome de Hennekam | Hypoparathyroïdie isolée familiale due à l'agénésie de la glande parathyroïde | Intoxication par la colchicine | Cholestase intrahépatique progressive familiale | Agammaglobulinémie liée à l'X | Hypoparathyroïdie auto-immune | Maladie des chaînes lourdes alpha | Pseudohypoparathyroïdie type 2 | Pseudohypoparathyroïdie type 1C | Syndrome de délétion 22q11.2 | Acrodysostose avec résistance aux multiples hormones | Chondrodysplasie métaphysaire autosomique récessive | Ostéopétrose d'Albers-Schönberg | Ostéopétrose et maladies associées | Syndrome de microdélétion 2p21 | Hypoparathyroïdie isolée familiale | Syndrome de Kenny-Caffey autosomique récessif | Syndrome de Dahlberg-Borer-Newcomer | Rachitisme hypocalcémique résistant à la vitamine D | Syndrome isotretinoïne-like | Ostéopétrose maligne autosomique récessive | Syndrome d'insuffisance rénale tubulaire-cardiomyopathie | Pseudohypoparathyroïdie type 1B | Syndrome de dérivés müllériens-lymphangiectasies-polydactylie | Syndrome du chromosome 10 en anneau | Lymphangiectasie intestinale secondaire 
HP:0002900,25,0.0674127005528%,Hypokalemia,25,SLC2A2 | SCN4A | BSND | CYP11B2 ...,SLC2A2 | SCN4A | BSND | CYP11B2 | CYP11B1 | SLC12A1 | SLC12A3 | CYP17A1 | CLCNKA | CLCNKB | CTNS | COL5A1 | SCNN1G | CACNA1S | CASR | KCNJ1 | KCNJ5 | OCRL | FXYD2 | MAGED2 | SLC4A1 | KCNJ10 | SCNN1B | HSD11B2 | NR3C1 ,28,Carcinome corticosurrénalien à hypersécrétion pure d'aldostérone ...,Carcinome corticosurrénalien à hypersécrétion pure d'aldostérone | Carcinome hépatocellulaire | Corticosurrénalome | Syndrome de Cushing par sécrétion ectopique d'ACTH | Hyperplasie congénitale des surrénales par déficit en 17-alpha-hydroxylase | Hyperaldostéronisme familial type III | Intoxication par la colchicine | Paralysie périodique hyperkaliémique | Hyperaldostéronisme familial type II | Syndrome de Cushing dépendant de l'ACTH | VIPome | Syndrome oculo-cérébro-rénal | Maladie de Cushing | Hyperplasie surrénalienne unilatérale primitive | Syndrome d'Ehlers-Danlos type vasculaire | Intoxication au mercure | Adénome thyréotrope | Résistance aux glucocorticoïdes | Syndrome de Nelson | Hyperplasie congénitale des surrénales par déficit en 11-bêta-hydroxylase | Syndrome d'hyperaldostéronisme primitif-épilepsie-anomalies neurologiques | Syndrome de Cushing indépendant de l'ACTH | Hyperaldostéronisme familial type I | Cystinose néphropathique  infantile | Syndrome de Cushing | Syndrome de Liddle | Cystinose | Tumeur ectopique sécrétrice d'aldostérone 
HP:0002907,6,0.0161790481327%,Microscopic hematuria,6,COL4A5 | FN1 | CTNS | CLCN5 ...,COL4A5 | FN1 | CTNS | CLCN5 | ADAMTS13 | LMX1B ,6,Lipodystrophie partielle acquise ...,Lipodystrophie partielle acquise | Syndrome d'Alport-déficience intellectuelle-hypoplasie du visage-elliptocytose | Syndrome de Majeed | Maladie rénale nail-patella-like | Méga-uretère primitif congénital | Glomérulopathie à dépôts de fibronectine 
HP:0011573,1,0.00269650802211%,Hypoplastic tricuspid valve,1,GATA6 ,GATA6 ,1,Syndrome d'hypoplasie pancréatique-diabète-cardiopathie congénitale ,Syndrome d'hypoplasie pancréatique-diabète-cardiopathie congénitale 
HP:0002905,12,0.0323580962653%,Hyperphosphatemia,12,TBCE | GNAS-AS1 | GCM2 | ZMPSTE24 ...,TBCE | GNAS-AS1 | GCM2 | ZMPSTE24 | GALNT3 | LMNA | CACNA1S | GNAS | CASR | STX16 | PTH | GNA11 ,14,Pseudohypoparathyroïdie type 1A ...,Pseudohypoparathyroïdie type 1A | Syndrome de Kenny-Caffey autosomique dominant | Syndrome de Sanjad-Sakati | Hypocalcémie autosomique dominante | Hypoparathyroïdie isolée familiale due à l'agénésie de la glande parathyroïde | Progéria | Hypoparathyroïdie auto-immune | Pseudohypoparathyroïdie type 2 | Pseudohypoparathyroïdie avec ostéodystrophie héréditaire d'Albright | Pseudohypoparathyroïdie type 1C | Hyperthermie maligne de l'anesthésie | Acrodysostose avec résistance aux multiples hormones | Calciphylaxie | Pseudohypoparathyroïdie type 1B 
HP:0002904,6,0.0161790481327%,Hyperbilirubinemia,6,WDR35 | FH | PEX19 | SC5D ...,WDR35 | FH | PEX19 | SC5D | SLC4A1 | POMC ,4,Paraplégie spastique autosomique dominante type 29 ...,Paraplégie spastique autosomique dominante type 29 | Carcinome hépatocellulaire | Anémie dysérythropoïétique congénitale type III | Paludisme 
HP:0003180,3,0.00808952406633%,Flat acetabular roof,3,FLNB | INPPL1 | CEP120 ,FLNB | INPPL1 | CEP120 ,5,Pseudolepréchaunisme de Patterson ...,Pseudolepréchaunisme de Patterson | Dysplasie spondylo-épimétaphysaire type Shohat | Dysplasie kyphomélique | Syndrome de Sillence | Dysplasie spondylo-épiphysaire type Nishimura 
HP:0003182,2,0.00539301604422%,Shallow acetabular fossae,2,RAB23 | SMARCAL1 ,RAB23 | SMARCAL1 ,1,Syndrome de microdélétion 17q23.1q23.2 ,Syndrome de microdélétion 17q23.1q23.2 
HP:0003183,3,0.00808952406633%,Wide pubic symphysis,3,FRAS1 | FREM2 | GRIP1 ,FRAS1 | FREM2 | GRIP1 ,1,Syndrome de Fraser ,Syndrome de Fraser 
HP:0004408,4,0.0107860320884%,Abnormality of the sense of smell,4,KIF7 | HYLS1 | ATP7A | SOX9 ,KIF7 | HYLS1 | ATP7A | SOX9 ,12,Syndrome d'extrasystoles ventriculaires avec syncopes-pérodactylie-séquence de Robin ...,Syndrome d'extrasystoles ventriculaires avec syncopes-pérodactylie-séquence de Robin | Syndrome de la corne occipitale | Hydrolethalus | Syndrome de Cockayne | Dysplasie campomélique | Anomalie du développement du segment antérieur de l'oeil | Méningiome | Syndrome d'arhinie-atrésie des choanes-microphtalmie | Syndrome de Moebius | Syndrome de Gorlin | Syndrome acrorénomandibulaire | Syndrome de microdélétion 8q21.11 
HP:0004409,8,0.0215720641769%,Hyposmia,8,IFT27 | CEP290 | PROKR2 | ANOS1 ...,IFT27 | CEP290 | PROKR2 | ANOS1 | FGFR1 | PTPN11 | GBA | CHD7 ,4,Syndrome d'hypoplasie nasale et oculaire-hypogonadisme hypogonadotrope ...,Syndrome d'hypoplasie nasale et oculaire-hypogonadisme hypogonadotrope | Maladie de Parkinson héréditaire à début tardif | Syndrome de Kallmann | Holoprosencéphalie 
