#DiseaseName	SourceName	ConceptID	SourceID	DiseaseMIM	LastModified	Category
3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency	SNOMED CT	C0268297	57514000	264600	16 Feb 2016	Disease
3q partial trisomy syndrome	SNOMED CT	C0265401	90866007		16 Feb 2016	Disease
3q29 microdeletion syndrome	Decipher	C2674949	37	609425	16 Feb 2016	Disease
3q29 microdeletion syndrome	Genetics Home Reference	C2674949	3q29-microdeletion-syndrome	609425	16 Feb 2016	Disease
4-5 finger syndactyly	Human Phenotype Ontology	C4023731	HP:0010705		16 Feb 2016	Finding
4-5 toe syndactyly	Human Phenotype Ontology	C1837836	HP:0004692		16 Feb 2016	Finding
4-Alpha-hydroxyphenylpyruvate hydroxylase deficiency	Office of Rare Diseases	C2931042	5668	140350	16 Feb 2016	Disease
4-hydroxyphenylacetic aciduria	Office of Rare Diseases		8155		16 Feb 2016	Disease
4-Hydroxyphenylacetic aciduria	Human Phenotype Ontology	C1848680	HP:0003607		16 Feb 2016	Finding
4-Hydroxyphenylpyruvate dioxygenase deficiency	Office of Rare Diseases	C0268623	10332	276710	16 Feb 2016	Disease
4-Hydroxyphenylpyruvate dioxygenase deficiency	SNOMED CT	C0268623	413356003	276710	16 Feb 2016	Disease
4-Hydroxyphenylpyruvic aciduria	Human Phenotype Ontology	C1848678	HP:0003161		16 Feb 2016	Finding
46,XX gonadal dysgenesis	David Buchner Laboratory,Case Western Reserve University				18 Oct 2017	Finding
46,XX gonadal dysgenesis	Orphanet	C0685837	243		22 Oct 2017	Disease
46,XX Gonadal dysgenesis epibulbar dermoid	Office of Rare Diseases		5671		16 Feb 2016	Disease
46,xx gonadal dysgenesis, complete, sry-positive	NCBI curation	CN220534			16 Feb 2016	Disease
46,XX sex reversal 2	NCBI curation	C2749215		278850	20 May 2016	Disease
46,XX sex reversal 4	NCBI curation	C4479552		617480	21 Jun 2017	Disease
46,XX sex reversal, type 1	NCBI curation	C2748895		400045	16 Feb 2016	Disease
46,XX sex reversal, type 3	NCBI curation	C3151782		300833	16 Feb 2016	Disease
46,XX testicular disorder of sex development	Genetics Home Reference	C2936420	46xx-testicular-disorder-of-sex-development		16 Feb 2016	Disease
46,XX testicular disorder of sex development	Office of Rare Diseases	C2936420	399		16 Feb 2016	Disease
46,XX testicular disorder of sex development	GeneReviews	C2936420			16 Feb 2016	Disease
46,XY disorder of sex development and 46,XY complete gonadal dysgenesis	NCBI curation	CN043561			16 Feb 2016	Disease
46,XY DSD/46,XY CGD	Illumina Clinical Services Laboratory,Illumina	CN239172	747046		20 Jun 2017	Disease
46,XY gonadal dysgenesis, complete, dhh-related	NCBI curation	C4016928			16 Feb 2016	Disease
46,XY gonadal dysgenesis, partial, with minifascicular neuropathy	NCBI curation	C2751325		607080	16 Feb 2016	Disease
46,XY sex reversal 10	NCBI curation	C4225331		616425	22 Jun 2016	Disease
46,XY sex reversal 8	NCBI curation	C1839840		614279	16 Feb 2016	Disease
46,XY sex reversal 9	NCBI curation	C4015129		616067	16 Feb 2016	Disease
46,XY sex reversal, type 1	NCBI curation	C2748896		400044	16 Feb 2016	Disease
46,XY sex reversal, type 2	NCBI curation	C1848296		300018	16 Feb 2016	Disease
46,XY sex reversal, type 3	UCLA Clinical Genomics Center, UCLA	C3489793		612965	16 Feb 2016	Disease
46,XY sex reversal, type 4	NCBI curation	C2752149		154230	16 Feb 2016	Disease
46,XY sex reversal, type 5	NCBI curation	C2751317		613080	16 Feb 2016	Disease
46,XY sex reversal, type 6	UCLA Clinical Genomics Center, UCLA	C3151064		613762	16 Feb 2016	Disease
46,XY sex reversal, type 7	NCBI curation	C1856273		233420	16 Feb 2016	Disease
46,XY true hermaphroditism, SRY-related	NCBI curation	C2748897			16 Feb 2016	Disease
49,XXXXX syndrome	Office of Rare Diseases		5678		16 Feb 2016	Disease
4h syndrome	NCBI curation				16 Feb 2016	Disease
4p partial monosomy syndrome	SNOMED CT	C1956097	17122004	194190	16 Feb 2016	Disease
5)	Clinical Cytogenomics Laboratory,Center for Precision Diagnostics, University of Washington	CN237116			08 Jul 2016	Finding
5-minute APGAR score of 0	Human Phenotype Ontology	C4476850	HP:0030920		02 Apr 2017	Finding
5-minute APGAR score of 1	Human Phenotype Ontology	C4476851	HP:0030921		02 Apr 2017	Finding
5-minute APGAR score of 2	Human Phenotype Ontology	C4476852	HP:0030922		02 Apr 2017	Finding
5-minute APGAR score of 3	Human Phenotype Ontology	C4476853	HP:0030923		02 Apr 2017	Finding
5-minute APGAR score of 4	Human Phenotype Ontology	C4476854	HP:0030924		02 Apr 2017	Finding
5-minute APGAR score of 5	Human Phenotype Ontology	C4476855	HP:0030925		02 Apr 2017	Finding
5-minute APGAR score of 6	Human Phenotype Ontology	C4476856	HP:0030926		02 Apr 2017	Finding
5-Nucleotidase syndrome	Office of Rare Diseases		8242		16 Feb 2016	Disease
5-Oxoprolinase deficiency	SNOMED CT	C0268525	26132002	260005	16 Feb 2016	Disease
5-prime-deiodinase deficiency, generalized, causing euthyroid hyperthyroxinemia, included	NCBI curation				16 Feb 2016	Disease
5p partial monosomy syndrome	SNOMED CT	C0010314	70173007	123450	16 Feb 2016	Disease
5q- syndrome	Office of Rare Diseases	C0740302	8723	153550	16 Feb 2016	Disease
5q22 deletion syndrome	NCBI curation	CN119543			16 Feb 2016	Disease
6 metacarpals	Human Phenotype Ontology	C1861360	HP:0001501		16 Feb 2016	Finding
6-phosphogluconolactonase deficiency	NCBI curation	C1868355		172150	16 Feb 2016	Disease
6-pyruvoyl-tetrahydropterin synthase deficiency	Office of Rare Diseases	C0878676	5682	261640	16 Feb 2016	Disease
6q partial trisomy syndrome	SNOMED CT	C0265412	76447002		16 Feb 2016	Disease
6q21-6q22.1 deletion	Pediatric Highly Intensive Care Unit,Fondazione IRCCS Ca' Granda Ospedale Maggiore Policlinico	CN233148	Arr 6q21-q22.31		16 Feb 2016	Disease
8p23.1 duplication syndrome	Office of Rare Diseases		10304		16 Feb 2016	Disease
9p partial trisomy syndrome	SNOMED CT	C0265428	77527000		16 Feb 2016	Disease
9q22.3 microdeletion	NCBI curation	C3711390			16 Feb 2016	Disease
_ Audiologic/Otolaryngologic (child onset)	Ambry Genetics	CN232491			16 Feb 2016	Finding
_ Cardiovascular (adult onset)	Ambry Genetics	CN232459			16 Feb 2016	Finding
_ Cardiovascular (child onset)	Ambry Genetics	CN232503			16 Feb 2016	Finding
_ Dental (child onset)	Ambry Genetics	CN232509			16 Feb 2016	Finding
_ Dermatologic (child onset)	Ambry Genetics	CN232511			16 Feb 2016	Finding
_ Gastrointestinal (adult onset)	Ambry Genetics	CN232460			16 Feb 2016	Finding
_ Gastrointestinal (child onset)	Ambry Genetics	CN232514			16 Feb 2016	Finding
_ Musculoskeletal/Structural (child onset)	Ambry Genetics	CN232522			16 Feb 2016	Finding
_ Neurologic (child onset)	Ambry Genetics	CN232526			16 Feb 2016	Finding
_ Oncologic (adult onset)	Ambry Genetics	CN232461			16 Feb 2016	Finding
_ Ophthalmologic (child onset)	Ambry Genetics	CN232530			16 Feb 2016	Finding
_ Renal (child onset)	Ambry Genetics	CN232531			16 Feb 2016	Finding
AA amyloidosis	SNOMED CT	C3536715	274945004		16 Feb 2016	Disease
Aarskog syndrome	Office of Rare Diseases	C0175701	4775	305400	16 Feb 2016	Disease
Aarskog syndrome	SNOMED CT	C0175701	14921002	305400	16 Feb 2016	Disease
Aarskog syndrome, autosomal dominant	NCBI curation	C3149220		100050	16 Feb 2016	Disease
Aase Smith syndrome	Office of Rare Diseases	C0220686	5642	147800	16 Feb 2016	Disease
Aase syndrome	SNOMED CT	C2931850	71988008	612561	16 Feb 2016	Disease
Abacavir hypersensitivity	NCBI curation	C1840547			16 Feb 2016	Pharmacological response
Abasia	Human Phenotype Ontology	C0877217	HP:0012651		16 Feb 2016	Finding
ABCA1-Related Disorders	Illumina Clinical Services Laboratory,Illumina	CN239173	652740		02 Dec 2016	Disease
ABCA2-related condition	Undiagnosed Diseases Network,NIH		e1d5e78d-2155-4a0a-9235-24f8a170b7e4_1		27 Apr 2018	Finding
ABCA4-Related Disorders	Illumina Clinical Services Laboratory,Illumina	CN239167	867935		02 Dec 2016	Disease
ABCB4-related disorders	GenomeConnect, ClinGen		genomeconnect_17339_622		11 Oct 2018	Disease
ABCB4-Related Intrahepatic Cholestasis	Illumina Clinical Services Laboratory,Illumina	CN239174	823948		02 Dec 2016	Disease
ABCC8-related disorder	Biochemical Molecular Genetic Laboratory,King Abdulaziz Medical City				07 Dec 2018	Disease
ABCD syndrome	Office of Rare Diseases	C1838099	335	600501	16 Feb 2016	Disease
Abderhalden Kaufmann Lignac syndrome	Office of Rare Diseases		10074		16 Feb 2016	Disease
Abdominal aortic calcification	Human Phenotype Ontology	C4531207	HP:0031313		04 Apr 2018	Finding
Abdominal aseptic abscess	Human Phenotype Ontology	C4476641	HP:0025181		02 Apr 2017	Finding
Abdominal chemodectomas with cutaneous angiolipomas	Office of Rare Diseases		1265		16 Feb 2016	Disease
Abdominal colic	Human Phenotype Ontology	C0232488	HP:0011848		16 Feb 2016	Finding
Abdominal cystic lymphangioma	Office of Rare Diseases	C2930929	439		16 Feb 2016	Disease
Abdominal distention	Human Phenotype Ontology	C0000731	HP:0003270		16 Feb 2016	Finding
Abdominal ectopia cordis	Human Phenotype Ontology	C4023287	HP:0011582		16 Feb 2016	Finding
Abdominal mass	Human Phenotype Ontology	C0000734	HP:0031500		04 Apr 2018	Finding
Abdominal obesity	Human Phenotype Ontology	CN185447	HP:0012743		16 Feb 2016	Finding
Abdominal obesity-metabolic syndrome	NCBI curation	C2930930			30 Jul 2017	Disease
Abdominal obesity-metabolic syndrome 3	NCBI curation	C4014361		615812	16 Feb 2016	Disease
Abdominal obesity-metabolic syndrome quantitative trait locus 1	NCBI curation				16 Feb 2016	Disease
Abdominal obesity-metabolic syndrome quantitative trait locus 2	NCBI curation	C1854170		605572	16 Feb 2016	Disease
Abdominal pain	International Standards For Cytogenomic Arrays Consortium (ISCA)	C0000737			16 Feb 2016	Finding
Abdominal pain	Human Phenotype Ontology	C0000737	HP:0002027		16 Feb 2016	Finding
Abdominal situs ambiguus	Human Phenotype Ontology	C4531036	HP:0031565		04 Apr 2018	Finding
Abdominal symptom	Human Phenotype Ontology	C0740651	HP:0011458		16 Feb 2016	Finding
Abdominal wall defect	Human Phenotype Ontology	C0238577	HP:0010866		16 Feb 2016	Finding
Abdominal wall defect; talipes equinovarus; single umbilical artery; abnormality of the vertebrae	Cytogenetics and Genomics Laboratory,University of Washington				16 Feb 2016	Finding
Abdominal wall muscle weakness	Human Phenotype Ontology	C4021527	HP:0009023		16 Feb 2016	Finding
Abducens palsy	Human Phenotype Ontology	C1847523	HP:0011349		16 Feb 2016	Finding
Aberrant melanosome maturation	Human Phenotype Ontology	C1969516	HP:0007384		16 Feb 2016	Finding
Aberrant subclavian artery	Office of Rare Diseases		5706		16 Feb 2016	Disease
Abetalipoproteinaemia	SNOMED CT	C0000744	190787008	200100	16 Feb 2016	Disease
Abidi X-linked mental retardation syndrome	Office of Rare Diseases	C1846056	9157	300262	16 Feb 2016	Disease
Ablepharon	Human Phenotype Ontology	C0266574	HP:0011224		16 Feb 2016	Finding
Ablepharon macrostomia syndrome	Office of Rare Diseases	C1860224	3	200110	16 Feb 2016	Disease
Abnormal activity of mitochondrial respiratory chain	Human Phenotype Ontology	C4023126	HP:0011922		16 Feb 2016	Finding
Abnormal adiponectin level	Human Phenotype Ontology	C4073126	HP:0030684		02 Apr 2017	Finding
Abnormal aggressive, impulsive or violent behavior	Human Phenotype Ontology	C4024963	HP:0006919		16 Feb 2016	Finding
Abnormal albumin level	Human Phenotype Ontology	C4023036	HP:0012116		16 Feb 2016	Finding
Abnormal aldolase level	Human Phenotype Ontology	C4022916	HP:0012400		16 Feb 2016	Finding
Abnormal alpha granule content	Human Phenotype Ontology	C4022863	HP:0012527		16 Feb 2016	Finding
Abnormal alpha granule distribution	Human Phenotype Ontology	C4022865	HP:0012525		16 Feb 2016	Finding
Abnormal alpha granules	Human Phenotype Ontology	C4022886	HP:0012483		16 Feb 2016	Finding
Abnormal alpha-beta T cell morphology	Human Phenotype Ontology	C4022503	HP:0030333		16 Feb 2016	Finding
Abnormal amplitude of dark-adapted bright flash electroretinogram	Human Phenotype Ontology	C4072968	HP:0030478		16 Feb 2016	Finding
Abnormal amplitude of dark-adapted dim flash electroretinogram	Human Phenotype Ontology	C4072966	HP:0030476		16 Feb 2016	Finding
Abnormal amplitude of flash visual evoked potentials	Human Phenotype Ontology	C4072952	HP:0030462		16 Feb 2016	Finding
Abnormal amplitude of light-adapted flicker electroretinogram	Human Phenotype Ontology	C4072969	HP:0030479		16 Feb 2016	Finding
Abnormal amplitude of light-adapted single flash electroretinogram	Human Phenotype Ontology	C4072971	HP:0030481		16 Feb 2016	Finding
Abnormal amplitude of pattern electroretinogram	Human Phenotype Ontology	C4072975	HP:0030485		16 Feb 2016	Finding
Abnormal amplitude of pattern onset/offset visual evoked potentials	Human Phenotype Ontology	C4072948	HP:0030457		16 Feb 2016	Finding
Abnormal amplitude of pattern reversal visual evoked potentials	Human Phenotype Ontology	C4025834	HP:0000650		16 Feb 2016	Finding
Abnormal Amsler grid test	Human Phenotype Ontology	C4073062	HP:0030590		16 Feb 2016	Finding
Abnormal anatomic location of the heart	Human Phenotype Ontology	C4025359	HP:0004307		16 Feb 2016	Finding
Abnormal angiostatin level	Human Phenotype Ontology	C4531119	HP:0031439		04 Apr 2018	Finding
Abnormal anterior chamber morphology	Human Phenotype Ontology	CN000556	HP:0000593		04 Apr 2018	Finding
Abnormal anterior horn cell morphology	Human Phenotype Ontology	C0154681	HP:0006802		16 Feb 2016	Finding
Abnormal antimullerian hormone level	Human Phenotype Ontology	C4476970	HP:0031101		04 Apr 2018	Finding
Abnormal aortic arch morphology	Human Phenotype Ontology	C3163801	HP:0012303		04 Apr 2018	Finding
Abnormal aortic morphology	Human Phenotype Ontology	C4025756	HP:0001679		04 Apr 2018	Finding
Abnormal aortic physiology	Human Phenotype Ontology	C4476880	HP:0030964		04 Apr 2018	Finding
Abnormal aortic valve cusp morphology	Human Phenotype Ontology	C4531034	HP:0031567		04 Apr 2018	Finding
Abnormal aortic valve physiology	NCBI for submitter				09 Nov 2018	Disease
Abnormal apolipoprotein level	Human Phenotype Ontology	C4476649	HP:0025201		02 Apr 2017	Finding
Abnormal appendicular skeleton morphology	Human Phenotype Ontology	C4023163	HP:0011844		16 Feb 2016	Finding
Abnormal arm span	Human Phenotype Ontology	C4022731	HP:0012769		16 Feb 2016	Finding
Abnormal arterial physiology	Human Phenotype Ontology	C4476701	HP:0025323		02 Apr 2017	Finding
Abnormal atrial arrangement	Human Phenotype Ontology	C2959688	HP:0011535		16 Feb 2016	Finding
Abnormal atrioventricular conduction	Human Phenotype Ontology	C4025244	HP:0005150		16 Feb 2016	Finding
Abnormal atrioventricular connection	Human Phenotype Ontology	C0344612	HP:0011546		16 Feb 2016	Finding
Abnormal auditory evoked potentials	Human Phenotype Ontology	C0522216	HP:0006958		16 Feb 2016	Finding
Abnormal automated kinetic perimetry test	Human Phenotype Ontology	C4073066	HP:0030594		16 Feb 2016	Finding
Abnormal autonomic nervous system morphology	Human Phenotype Ontology	C4022953	HP:0012331		16 Feb 2016	Finding
Abnormal autonomic nervous system physiology	Human Phenotype Ontology	C4022952	HP:0012332		16 Feb 2016	Finding
Abnormal axial skeleton morphology	Human Phenotype Ontology	C4024586	HP:0009121		16 Feb 2016	Finding
Abnormal axonemal organization of respiratory motile cilia	Human Phenotype Ontology	C4022987	HP:0012258		16 Feb 2016	Finding
Abnormal B cell proliferation	Human Phenotype Ontology	C4531167	HP:0031380		04 Apr 2018	Finding
Abnormal B cell subset distribution	Human Phenotype Ontology	C4476839	HP:0025539		04 Apr 2018	Finding
Abnormal B-type natriuretic peptide level	Human Phenotype Ontology	C4476997	HP:0031138		04 Apr 2018	Finding
Abnormal basal ganglia MRI signal intensity	Human Phenotype Ontology	C4022745	HP:0012751		16 Feb 2016	Finding
Abnormal best corrected visual acuity test	Human Phenotype Ontology	C4073008	HP:0030534		16 Feb 2016	Finding
Abnormal biliary tract morphology	Human Phenotype Ontology	C4021086	HP:0012440		16 Feb 2016	Finding
Abnormal biliary tract physiology	Human Phenotype Ontology	C4022902	HP:0012439		16 Feb 2016	Finding
Abnormal bleeding	Human Phenotype Ontology	C1458140	HP:0001892		16 Feb 2016	Finding
Abnormal blistering of the skin	Human Phenotype Ontology	C2132198	HP:0008066		16 Feb 2016	Finding
Abnormal blood gas level	Human Phenotype Ontology	C0476337	HP:0012415		16 Feb 2016	Finding
Abnormal bone collagen fibril morphology	Human Phenotype Ontology	C4023158	HP:0011862		16 Feb 2016	Finding
Abnormal bone ossification	Human Phenotype Ontology	C4023161	HP:0011849		16 Feb 2016	Finding
Abnormal bone structure	Human Phenotype Ontology	C4025630	HP:0003330		16 Feb 2016	Finding
Abnormal bowel sounds	Human Phenotype Ontology	C0159060	HP:0030142		16 Feb 2016	Finding
Abnormal brain choline level by MRS	Human Phenotype Ontology	C4476566	HP:0025047		02 Apr 2017	Finding
Abnormal brain choline/creatine ratio by MRS	Human Phenotype Ontology	C4022760	HP:0012709		16 Feb 2016	Finding
Abnormal brain creatine level by MRS	Human Phenotype Ontology	C4476568	HP:0025049		02 Apr 2017	Finding
Abnormal brain FDG positron emission tomography	Human Phenotype Ontology	C4022798	HP:0012658		16 Feb 2016	Finding
Abnormal brain lactate level by MRS	Human Phenotype Ontology	C4476564	HP:0025045		02 Apr 2017	Finding
Abnormal brain N-acetyl aspartate level by MRS	Human Phenotype Ontology	C4476571	HP:0025052		02 Apr 2017	Finding
Abnormal brain positron emission tomography	Human Phenotype Ontology	C4022799	HP:0012657		16 Feb 2016	Finding
Abnormal brainstem MRI signal intensity	Human Phenotype Ontology	C4022749	HP:0012747		16 Feb 2016	Finding
Abnormal branching pattern of left aortic arch	Human Phenotype Ontology	C4476936	HP:0031055		04 Apr 2018	Finding
Abnormal branching pattern of the aortic arch	Human Phenotype Ontology	C4023282	HP:0011587		16 Feb 2016	Finding
Abnormal breast morphology	Human Phenotype Ontology	C4531292	HP:0031093		04 Apr 2018	Finding
Abnormal breast physiology	Human Phenotype Ontology	C4531291	HP:0031094		04 Apr 2018	Finding
Abnormal breath sound	Human Phenotype Ontology	C0231856	HP:0030829		02 Apr 2017	Finding
abnormal breathing pattern at infancy	Developmental Genetics Unit,King Faisal Specialist Hospital & Research Centre	CN238703			19 Oct 2016	Finding
Abnormal bronchus morphology	Human Phenotype Ontology	C4476770	HP:0025426		04 Apr 2018	Finding
Abnormal bronchus physiology	Human Phenotype Ontology	C4476771	HP:0025427		04 Apr 2018	Finding
Abnormal buccal mucosa cell morphology	Human Phenotype Ontology	C4531098	HP:0031476		04 Apr 2018	Finding
Abnormal C-peptide level	Human Phenotype Ontology	C4280765	HP:0030794		02 Apr 2017	Finding
